centiradian,centiradian,crad,
deciradian,deciradian,drad,
attoradian,attoradian,arad,
femtoradian,femtoradian,frad,
picoradian,picoradian,prad,
nanoradian,nanoradian,nrad,
millisecond-Angle,millisecond (angle),mas,"The millisecond (angle) is a unit of length defined as 1.0e-3 second (angle). Used in astronomy (measurements of positions of stars, galaxies, etc.) to represent the error."
microsecond-Angle,microsecond (angle),μas,"The microsecond (angle) is a unit of length defined as 1.0e-6 second (angle). Used in astronomy (measurements of positions of stars, galaxies, etc.) to represent the error."
microsteradian,microsteradian,μsr,
millisteradian,millisteradian,msr,
centisteradian,centisteradian,csr,
decisteradian,decisteradian,dsr,
attosteradian,attosteradian,asr,
femtosteradian,femtosteradian,fsr,
picosteradian,picosteradian,psr,
nanosteradian,nanosteradian,nsr,
gigaparsec,gigaparsec,Gpc,The gigaparsec is a unit of length defined as 1.0e9 parsec. Gebruikt voor de afstand op de schaal van het heelal.
kiloparsec,kiloparsec,kpc,The kiloparsec is a unit of length defined as 1.0e3 parsec. Gebruikt voor afstanden op de schaal van het melkwegstelsel.
yoctometre,yoctometre,ym,The yoctometre is a unit of length defined as 1.0e-24 metre.
zeptometre,zeptometre,zm,The zeptometre is a unit of length defined as 1.0e-21 metre.
zettametre,zettametre,Zm,The zettametre is a unit of length defined as 1.0e21 metre.
yottametre,yottametre,Ym,The yottametre is a unit of length defined as 1.0e24 metre.
yoctolitre,yoctolitre,yl,
zeptolitre,zeptolitre,zl,
zettalitre,zettalitre,Zl,
yottalitre,yottalitre,Yl,
yoctoradian,yoctoradian,yrad,
zeptoradian,zeptoradian,zrad,
yoctosteradian,yoctosteradian,ysr,
zeptosteradian,zeptosteradian,zsr,
microbar,microbar,μsr,The microbar is a unit of pressure defined as 1.0e-6 bar.
kilogram,kilogram,kg,The kilogram is a unit of mass defined as the mass of the international prototype of the kilogram.
yoctogram,yoctogram,yg,The yoctogram is a unit of mass defined as 1.0e-24 gram.
zeptogram,zeptogram,zg,The zeptgram is a unit of mass defined as 1.0e-21 gram.
attogram,attogram,ag,The attogram is a unit of mass defined as 1.0e-18 gram.
picogram,picogram,pg,The picogram is a unit of mass defined as 1.0e-12 gram.
femtogram,femtogram,fg,The femtogram is a unit of mass defined as 1.0e-15 gram.
nanogram,nanogram,ng,The nanogram is a unit of mass defined as 1.0e-9 gram.
microgram,microgram,μg,The microgram is a unit of mass defined as 1.0e-6 gram.
milligram,milligram,mg,The milligram is a unit of mass defined as 1.0e-3 gram.
centigram,centigram,cg,The centigram is a unit of mass defined as 1.0e-2 gram.
decigram,decigram,dg,The decigram is a unit of mass defined as 1.0e-1 gram.
decagram,decagram,dag,The decagram is a unit of mass defined as 1.0e1 gram.
hectogram,hectogram,hg,The hectogram is a unit of mass defined as 1.0e2 gram.
megagram,megagram,Mg,The megagram is a unit of mass defined as 1.0e6 gram.
gigagram,gigagram,Gg,The gigagram is a unit of mass defined as 1.0e9 gram.
teragram,teragram,Tg,The teragram is a unit of mass defined as 1.0e12 gram.
petagram,petagram,Pg,The petagram is a unit of mass defined as 1.0e15 gram.
exagram,exagram,Eg,The exagram is a unit of mass defined as 1.0e18 gram.
zettagram,zettagram,ZG,The zettagram is a unit of mass defined as 1.0e21 gram.
yottagram,yottagram,YG,The yottagram is a unit of mass defined as 1.0e24 gram.
yoctosecond-Time,yoctosecond,ys,
zeptosecond-Time,zeptosecond,zs,
attosecond-Time,attosecond,as,
picosecond-Time,picosecond,ps,
femtosecond-Time,femtosecond,fs,
nanosecond-Time,nanosecond,ns,
microsecond-Time,microsecond,μs,
millisecond-Time,millisecond,ms,
centisecond-Time,centisecond,cs,
decisecond-Time,decisecond,ds,
decasecond-Time,decasecond,das,
hectosecond-Time,hectosecond,hs,
kilosecond-Time,kilosecond,ks,
megasecond-Time,megasecond,Ms,
gigasecond-Time,gigasecond,Gs,
terasecond-Time,terasecond,Ts,
petasecond-Time,petasecond,Ps,
exasecond-Time,exasecond,Es,
zettasecond-Time,zettasecond,Zs,
yottasecond-Time,yottasecond,Ys,
yoctoampere,yoctoampere,yA,The yoctoampere is a unit of electric current defined as 1.0e-24 ampere.
zeptoampere,zeptoampere,zA,The zeptampere is a unit of electric current defined as 1.0e-21 ampere.
attoampere,attoampere,aA,The attoampere is a unit of electric current defined as 1.0e-18 ampere.
picoampere,picoampere,pA,The picoampere is a unit of electric current defined as 1.0e-12 ampere.
