type,unit,label,labelLang,symbol,definition
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/nanokelvin,nanokelvin,en,nK,The nanokelvin is a unit of temperature defined as 1.0e-9 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/nanokelvin,nanokelvin,nl,nK,The nanokelvin is a unit of temperature defined as 1.0e-9 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/microkelvin,microkelvin,en,μK,The microkelvin is a unit of temperature defined as 1.0e-6 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/microkelvin,microkelvin,nl,μK,The microkelvin is a unit of temperature defined as 1.0e-6 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/millikelvin,millikelvin,en,mK,The millikelvin is a unit of temperature defined as 1.0e-3 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/millikelvin,millikelvin,nl,mK,The millikelvin is a unit of temperature defined as 1.0e-3 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/centikelvin,centikelvin,en,cK,The centikelvin is a unit of temperature defined as 1.0e-2 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/centikelvin,centikelvin,nl,cK,The centikelvin is a unit of temperature defined as 1.0e-2 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/decikelvin,decikelvin,en,dK,The decikelvin is a unit of temperature defined as 1.0e-1 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/decikelvin,decikelvin,nl,dK,The decikelvin is a unit of temperature defined as 1.0e-1 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/decakelvin,decakelvin,en,daK,The decakelvin is a unit of thermodynamic temperature defined as 1.0e1 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/decakelvin,decakelvin,nl,daK,The decakelvin is a unit of thermodynamic temperature defined as 1.0e1 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/hectokelvin,hectokelvin,en,hK,The hectokelvin is a unit of thermodynamic temperature defined as 1.0e2 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/hectokelvin,hectokelvin,nl,hK,The hectokelvin is a unit of thermodynamic temperature defined as 1.0e2 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/kilokelvin,kilokelvin,en,kK,The kilokelvin is a unit of thermodynamic temperature defined as 1.0e3 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/kilokelvin,kilokelvin,nl,kK,The kilokelvin is a unit of thermodynamic temperature defined as 1.0e3 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/megakelvin,megakelvin,en,MK,The megakelvin is a unit of thermodynamic temperature defined as 1.0e6 kelvin.
