Code,Label,Symbol,Description
N17,inch of mercury (60 ºF),inHg (60 ºF),"Non SI-conforming unit of pressure according to the Anglo-American and Imperial system for units, whereas the value of 1 inHg meets the static pressure, which is generated by a mercury at a temperature of 60°F with a height of 1 inch."
N18,inch of water (39.2 ºF),"inH₂O (39,2 ºF)","Non SI-conforming unit of pressure according to the Anglo-American and Imperial system for units, whereas the value of 1 inH2O meets the static pressure, which is generated by a head of water at a temperature of 39,2°F with a height of 1 inch ."
N19,inch of water (60 ºF),inH₂O (60 ºF),"Non SI-conforming unit of pressure according to the Anglo-American and Imperial system for units, whereas the value of 1 inH2O meets the static pressure, which is generated by a head of water at a temperature of 60°F with a height of 1 inch ."
N20,kip per square inch,ksi,Non SI-conforming unit of the pressure according to the Anglo-American system of units as the 1000-fold of the unit of the force pound-force divided by the power of the unit inch by exponent 2.
N21,poundal per square foot,pdl/ft²,"Non SI-conforming unit of pressure by the Imperial system of units according to NIST: 1 pdl/ft² = 1,488 164 Pa."
N22,ounce (avoirdupois) per square inch,oz/in²,Unit of the surface specific mass (avoirdupois ounce according to the avoirdupois system of units according to the surface square inch according to the Anglo-American and Imperial system of units).
N23,conventional metre of water,mH₂O,"Not SI-conforming unit of pressure, whereas a value of 1 mH2O is equivalent to the static pressure, which is produced by one metre high water column ."
N24,gram per square millimetre,g/mm²,"0,001-fold of the SI base unit kilogram divided by the 0.000 001-fold of the power of the SI base unit meter by exponent 2."
N25,pound per square yard,lb/yd²,Unit for areal-related mass as a unit pound according to the avoirdupois unit system divided by the power of the unit yard according to the Anglo-American and Imperial system of units with exponent 2.
N26,poundal per square inch,pdl/in²,Non SI-conforming unit of the pressure according to the Imperial system of units (poundal by square inch).
N27,foot to the fourth power,ft⁴,"Power of the unit foot according to the Anglo-American and Imperial system of units by exponent 4 according to NIST: 1 ft4 = 8,630 975 m4."
N28,cubic decimetre per kilogram,dm³/kg,"0,001 fold of the power of the SI base unit meter by exponent 3 divided by the SI based unit kilogram."
N29,cubic foot per pound,ft³/lb,Power of the unit foot according to the Anglo-American and Imperial system of units by exponent 3 divided by the unit avoirdupois pound according to the avoirdupois unit system.
N3,print point,,
N30,cubic inch per pound,in³/lb,Power of the unit inch according to the Anglo-American and Imperial system of units by exponent 3 divided by the avoirdupois pound according to the avoirdupois unit system .
N31,kilonewton per metre,kN/m,1000-fold of the derived SI unit newton divided by the SI base unit metre.
N32,poundal per inch,pdl/in,Non SI-conforming unit of the surface tension according to the Imperial unit system as quotient poundal by inch.
N33,pound-force per yard,lbf/yd,Unit of force per unit length based on the Anglo-American system of units.
N34,poundal second per square foot,(pdl/ft²)·s,Non SI-conforming unit of viscosity.
N35,poise per pascal,P/Pa,CGS (Centimetre-Gram-Second system) unit poise divided by the derived SI unit pascal.
N36,newton second per square metre,(N/m²)·s,Unit of the dynamic viscosity as a product of unit of the pressure (newton by square metre) multiplied with the SI base unit second.
N37,kilogram per metre second,kg/(m·s),Unit of the dynamic viscosity as a quotient SI base unit kilogram divided by the SI base unit metre and by the SI base unit second.
N38,kilogram per metre minute,kg/(m·min),Unit of the dynamic viscosity as a quotient SI base unit kilogram divided by the SI base unit metre and by the unit minute.
N39,kilogram per metre day,kg/(m·d),Unit of the dynamic viscosity as a quotient SI base unit kilogram divided by the SI base unit metre and by the unit day.
N40,kilogram per metre hour,kg/(m·h),Unit of the dynamic viscosity as a quotient SI base unit kilogram divided by the SI base unit metre and by the unit hour.
N41,gram per centimetre second,g/(cm·s),"Unit of the dynamic viscosity as a quotient of the 0,001-fold of the SI base unit kilogram divided by the 0,01-fold of the SI base unit metre and SI base unit second."
N42,poundal second per square inch,(pdl/in²)·s,Non SI-conforming unit of dynamic viscosity according to the Imperial system of units as product unit of the pressure (poundal by square inch) multiplied by the SI base unit second.
N43,pound per foot minute,lb/(ft·min),Unit of the dynamic viscosity according to the Anglo-American unit system.
N44,pound per foot day,lb/(ft·d),Unit of the dynamic viscosity according to the Anglo-American unit system.
N45,cubic metre per second pascal,(m³/s)/Pa,Power of the SI base unit meter by exponent 3 divided by the product of the SI base unit second and the derived SI base unit pascal.
N46,foot poundal,ft·pdl,Unit of the work (force-path).
N47,inch poundal,in·pdl,Unit of work (force multiplied by path) according to the Imperial system of units as a product unit inch multiplied by poundal.
N48,watt per square centimetre,W/cm²,"Derived SI unit watt divided by the power of the 0,01-fold the SI base unit metre by exponent 2."
N49,watt per square inch,W/in²,Derived SI unit watt divided by the power of the unit inch according to the Anglo-American and Imperial system of units by exponent 2.
N50,British thermal unit (international table) per square foot hour,BtuIT/(ft²·h),Unit of the surface heat flux according to the Imperial system of units.
N51,British thermal unit (thermochemical) per square foot hour,Btuth/(ft²·h),Unit of the surface heat flux according to the Imperial system of units.
N52,British thermal unit (thermochemical) per square foot minute,Btuth/(ft²·min) ,Unit of the surface heat flux according to the Imperial system of units.
N53,British thermal unit (international table) per square foot second,BtuIT/(ft²·s),Unit of the surface heat flux according to the Imperial system of units.
N54,British thermal unit (thermochemical) per square foot second,Btuth/(ft²·s),Unit of the surface heat flux according to the Imperial system of units.
N55,British thermal unit (international table) per square inch second,BtuIT/(in²·s),Unit of the surface heat flux according to the Imperial system of units.
N56,calorie (thermochemical) per square centimetre minute,calth/(cm²·min),Unit of the surface heat flux according to the Imperial system of units.
N57,calorie (thermochemical) per square centimetre second,calth/(cm²·s),Unit of the surface heat flux according to the Imperial system of units.
N58,British thermal unit (international table) per cubic foot,BtuIT/ft³,Unit of the energy density according to the Imperial system of units.
N59,British thermal unit (thermochemical) per cubic foot,Btuth/ft³,Unit of the energy density according to the Imperial system of units.
N60,British thermal unit (international table) per degree Fahrenheit,BtuIT/ºF,Unit of the heat capacity according to the Imperial system of units.
N61,British thermal unit (thermochemical) per degree Fahrenheit,Btuth/ºF,Unit of the heat capacity according to the Imperial system of units.
